ward,population,median_household_income,pct_low_income
Charleswood - Tuxedo - Westwood,47340,101000,7.6
Daniel McIntyre,44145,62000,19.5
Elmwood - East Kildonan,45070,70500,15.4
Fort Rouge - East Fort Garry,47360,59200,19.5
Mynarski,50405,65500,18.8
North Kildonan,45460,82000,9.9
Old Kildonan,53545,94000,9.2
Point Douglas,49165,76500,16.2
River Heights - Fort Garry,49990,88000,10.9
St. Boniface,46565,84000,10.1
St. James,48220,76500,10.5
St. Norbert - Seine River,48515,93000,11.0
St. Vital,54085,83000,12.5
Transcona,50985,94000,7.3
Waverley West,55820,94000,15.8
